dataset,retained_budget,method_left,method_right,intersection,union,jaccard,left_ECov_slot,right_ECov_slot,left_delta_NLL,right_delta_NLL,left_EAR,right_EAR
RULER-16K,0.5,SnapKVPress,QuantizedCache,6,56,0.10714285714285714,0.517554012345679,1.0,-0.0001808119085258871,0.0030273172498880285,0.0326601322608433,
RULER-16K,0.5,TOVAPress,KeyDiffPress,15,132,0.11363636363636363,0.5572222222222222,0.531496913580247,0.19352909973635898,0.9514303638279811,0.15120357233638734,0.053582325005792714
RULER-16K,0.5,TOVAPress,ThinKPress,33,951,0.03470031545741325,0.6650392817059484,1.0,0.1345111425385289,6.791647538655454,0.18302737974239736,
RULER-16K,0.5,TOVAPress,ChunkKVPress_Knorm,22,321,0.06853582554517133,0.6486111111111111,0.5935606060606061,0.12224042210880093,0.4377591350296895,0.17674168799645248,
RULER-16K,0.5,TOVAPress,AdaKVPress,11,45,0.24444444444444444,0.8085016835016835,0.5900462962962962,-0.00025165817669722557,0.00010710152029267597,0.2254348069118815,
RULER-16K,0.5,TOVAPress,QuantizedCache,8,53,0.1509433962264151,0.790625,1.0,-0.00034003771888768686,0.0020410557501857607,0.19380858152682703,
RULER-16K,0.5,KeyDiffPress,ThinKPress,114,951,0.11987381703470032,0.5944870857699805,1.0,0.5945610404274931,6.542032549966474,0.06083548508222111,
RULER-16K,0.5,KeyDiffPress,ChunkKVPress_Knorm,76,348,0.21839080459770116,0.5176923428362573,0.4180190058479532,0.7265360509939559,1.0501803952852726,0.05490005177325201,
RULER-16K,0.5,KeyDiffPress,AdaKVPress,9,128,0.0703125,0.9325488683127572,0.556494341563786,0.021798145273546905,-0.08333137952163734,0.14060986891131097,
RULER-16K,0.5,KeyDiffPress,QuantizedCache,10,132,0.07575757575757576,0.9455439814814814,1.0,0.007079823498173932,0.0013212576706583157,0.1348865590265386,
RULER-16K,0.5,ThinKPress,ChunkKVPress_Knorm,310,951,0.32597266035751843,1.0,0.5665382317801673,8.387923470319482,0.8700574272232401,,
RULER-16K,0.5,ThinKPress,AdaKVPress,23,951,0.024185068349106203,1.0,0.5836805555555555,6.706322047375028,-0.017164838107754255,,
RULER-16K,0.5,ThinKPress,QuantizedCache,28,951,0.029442691903259727,1.0,1.0,6.6238416189577345,0.0020726812237071846,,
RULER-16K,0.5,ChunkKVPress_Knorm,AdaKVPress,17,316,0.05379746835443038,0.7519607843137255,0.5663807189542484,-0.008408687834589165,-0.044580976165472457,,
RULER-16K,0.5,ChunkKVPress_Knorm,QuantizedCache,18,320,0.05625,0.7806841563786008,1.0,0.025309118160529855,0.002911453111692719,,
RULER-16K,0.5,AdaKVPress,QuantizedCache,8,43,0.18604651162790697,0.49809027777777776,1.0,-4.710441331923221e-05,0.0037409839419311197,,
RULER-16K,0.75,StreamingLLMPress,SnapKVPress,4,311,0.012861736334405145,0.125,0.7976273148148149,0.03185979898525615,0.0008364596442517191,0.049525772880410206,0.05708773673005476
RULER-16K,0.75,StreamingLLMPress,TOVAPress,2,309,0.006472491909385114,0.0,0.9314814814814815,0.06525288557347153,-0.000803917379187169,0.0,0.2712092725603629
RULER-16K,0.75,StreamingLLMPress,KeyDiffPress,13,328,0.039634146341463415,0.34615384615384615,0.9727074430199429,0.36486236918038517,0.06614806461370239,0.11427711356939346,0.08459164524752542
RULER-16K,0.75,StreamingLLMPress,ThinKPress,4,315,0.012698412698412698,0.1875,1.0,0.030546089479396188,3.230851752833441e-05,0.056164857257217746,
RULER-16K,0.75,StreamingLLMPress,ChunkKVPress_Knorm,52,414,0.12560386473429952,0.40384615384615385,0.7706819800569801,2.9180596073607155,0.4346984329869347,0.19417343468981485,
RULER-16K,0.75,StreamingLLMPress,AdaKVPress,3,306,0.00980392156862745,0.0,0.8169753086419753,0.043507082608123714,-0.0003343569672627685,0.0,
RULER-16K,0.75,StreamingLLMPress,QuantizedCache,2,304,0.006578947368421052,0.0,1.0,0.06526149810090942,-9.880307203502525e-05,0.0,
RULER-16K,0.75,SnapKVPress,TOVAPress,5,17,0.29411764705882354,0.8763657407407408,0.9459259259259258,-0.00024044330976957795,-0.0003257579089175344,0.04594872329859291,0.22110496282636743
RULER-16K,0.75,SnapKVPress,KeyDiffPress,2,50,0.04,0.8987268518518519,0.994212962962963,-0.0005935858479897416,0.009123091573096875,0.042045618480784364,0.228172099155774
RULER-16K,0.75,SnapKVPress,ThinKPress,5,25,0.2,0.7990972222222222,1.0,0.09917347706828342,0.09563456716619304,0.07320632465054899,
RULER-16K,0.75,SnapKVPress,ChunkKVPress_Knorm,6,171,0.03508771929824561,0.7560763888888888,0.8016975308641975,0.0005580579998962776,0.002196792436161369,0.03712532927444731,
RULER-16K,0.75,SnapKVPress,AdaKVPress,4,16,0.25,0.8703414351851851,0.8383680555555555,-0.0003005442113657164,-0.0002563987336543505,0.049296869199129456,
RULER-16K,0.75,SnapKVPress,QuantizedCache,3,14,0.21428571428571427,0.8633101851851852,1.0,0.16528774683242395,0.049783691173504487,0.0964737419200743,
RULER-16K,0.75,TOVAPress,KeyDiffPress,3,45,0.06666666666666667,0.9450617283950616,0.9895833333333334,-0.0005359449194581126,0.006067112101271939,0.2619737069972211,0.20609634947914054
RULER-16K,0.75,TOVAPress,ThinKPress,4,22,0.18181818181818182,0.9143518518518519,1.0,-0.000498771257914199,0.000706082428853394,0.19175252914545327,
RULER-16K,0.75,TOVAPress,ChunkKVPress_Knorm,3,170,0.01764705882352941,0.9135802469135802,0.8052469135802469,-0.0005359449194581126,0.001969846331083621,0.23805301884055244,
RULER-16K,0.75,TOVAPress,AdaKVPress,4,12,0.3333333333333333,0.9462962962962963,0.8383680555555555,-0.00040648220663663803,-0.0002563987336543505,0.21297605246126614,
RULER-16K,0.75,TOVAPress,QuantizedCache,2,11,0.18181818181818182,0.9675925925925926,1.0,-0.0008033511705392016,-9.920536620811049e-05,0.22926904882851135,
RULER-16K,0.75,KeyDiffPress,ThinKPress,9,47,0.19148936170212766,0.9696887860082304,1.0,-0.011606365492252814,-0.01078948069658741,0.09169384138347562,
